날짜,종가
2019-04-03,1133.67 
2019-04-02,1136.92 
2019-04-01,1133.72 
2019-03-29,1137.40 
2019-03-28,1135.95 
2019-03-27,1139.24 
2019-03-26,1135.87 
2019-03-25,1132.86 
2019-03-22,1136.11 
2019-03-21,1128.41 
2019-03-20,1126.05 
2019-03-19,1130.96 
2019-03-18,1132.52 
2019-03-15,1135.70 
2019-03-14,1136.42 
2019-03-13,1130.50 
2019-03-12,1128.44 
2019-03-11,1131.77 
2019-03-08,1133.90 
2019-03-07,1134.87 
2019-03-06,1128.38 
2019-03-05,1125.81 
2019-03-04,1126.46 
2019-03-01,1127.67 
2019-02-28,1125.90 
2019-02-27,1118.22 
2019-02-26,1115.61 
2019-02-25,1116.06 
2019-02-22,1122.99 
2019-02-21,1125.63 
2019-02-20,1123.22 
2019-02-19,1122.92 
2019-02-18,1126.40 
2019-02-15,1126.44 
2019-02-14,1126.40 
2019-02-13,1125.59 
2019-02-12,1121.29 
2019-02-11,1125.99 
2019-02-08,1124.50 
2019-02-07,1124.81 
2019-02-06,1121.80 
2019-02-05,1117.27 
2019-02-04,1119.86 
2019-02-01,1119.40 
2019-01-31,1112.40 
2019-01-30,1111.04 
2019-01-29,1118.01 
2019-01-28,1118.87 
2019-01-25,1118.78 
2019-01-24,1128.75 
2019-01-23,1126.46 
2019-01-22,1131.77 
2019-01-21,1134.40 
2019-01-18,1126.08 
2019-01-17,1122.70 
2019-01-16,1120.78 
2019-01-15,1122.85 
2019-01-14,1121.80 
2019-01-11,1118.23 
2019-01-10,1117.79 
2019-01-09,1118.18 
2019-01-08,1122.83 
2019-01-07,1117.66 
2019-01-04,1116.85 
2019-01-03,1125.89 
2019-01-02,1120.12 
2019-01-01,1112.83 
2018-12-31,1114.30 
2018-12-28,1117.05 
2018-12-27,1120.08 
2018-12-26,1123.66 
2018-12-25,1125.40 
2018-12-24,1124.87 
2018-12-21,1129.04 
2018-12-20,1122.78 
2018-12-19,1129.71 
2018-12-18,1127.53 
2018-12-17,1129.55 
2018-12-14,1132.70 
2018-12-13,1125.55 
2018-12-12,1124.82 
2018-12-11,1129.53 
2018-12-10,1128.37 
2018-12-07,1124.85 
2018-12-06,1118.70 
2018-12-05,1114.16 
2018-12-04,1111.51 
2018-12-03,1109.54 
2018-11-30,1120.44 
2018-11-29,1117.55 
2018-11-28,1123.48 
2018-11-27,1130.51 
2018-11-26,1129.79 
2018-11-23,1133.50 
2018-11-22,1132.10 
2018-11-21,1128.12 
2018-11-20,1130.25 
2018-11-19,1125.68 
2018-11-16,1121.40 
2018-11-15,1127.93 
2018-11-14,1132.70 
2018-11-13,1131.49 
2018-11-12,1139.35 
2018-11-09,1130.69 
2018-11-08,1121.68 
2018-11-07,1116.43 
2018-11-06,1121.93 
2018-11-05,1120.56 
2018-11-02,1118.10 
2018-11-01,1124.31 
2018-10-31,1142.02 
2018-10-30,1139.69 
2018-10-29,1143.74 
2018-10-26,1140.28 
2018-10-25,1137.38 
2018-10-24,1139.86 
2018-10-23,1135.78 
2018-10-22,1133.25 
2018-10-19,1132.15 
2018-10-18,1138.60 
2018-10-17,1128.53 
2018-10-16,1123.24 
2018-10-15,1131.87 
2018-10-12,1131.30 
2018-10-11,1135.55 
2018-10-10,1143.30 
2018-10-09,1132.12 
2018-10-08,1134.63 
2018-10-05,1132.13 
2018-10-04,1133.53 
2018-10-03,1125.50 
2018-10-02,1118.51 
2018-10-01,1113.76 
2018-09-28,1110.15 
2018-09-27,1114.15 
2018-09-26,1115.55 
2018-09-25,1117.88 
2018-09-24,1120.12 
2018-09-21,1114.95 
2018-09-20,1117.13 
2018-09-19,1118.95 
2018-09-18,1122.82 
2018-09-17,1126.33 
2018-09-14,1121.66 
2018-09-13,1120.01 
2018-09-12,1120.25 
2018-09-11,1123.99 
2018-09-10,1129.90 
2018-09-07,1128.57 
2018-09-06,1122.06 
2018-09-05,1119.84 
2018-09-04,1118.36 
2018-09-03,1112.10 
2018-08-31,1115.63 
2018-08-30,1114.79 
2018-08-29,1110.64 
2018-08-28,1108.30 
2018-08-27,1109.05 
2018-08-24,1114.51 
2018-08-23,1124.62 
2018-08-22,1117.76 
2018-08-21,1116.61 
2018-08-20,1118.17 
2018-08-17,1119.69 
2018-08-16,1127.25 
2018-08-15,1133.97 
2018-08-14,1128.21 
2018-08-13,1137.00 
2018-08-10,1130.17 
2018-08-09,1123.70 
2018-08-08,1117.26 
2018-08-07,1117.94 
2018-08-06,1126.70 
2018-08-03,1123.34 
2018-08-02,1128.21 
2018-08-01,1119.49 
2018-07-31,1113.25 
2018-07-30,1117.81 
2018-07-27,1115.89 
2018-07-26,1124.38 
2018-07-25,1117.79 
2018-07-24,1127.41 
2018-07-23,1134.19 
2018-07-20,1127.90 
2018-07-19,1135.55 
2018-07-18,1131.16 
2018-07-17,1127.00 
2018-07-16,1128.46 
2018-07-13,1130.14 
2018-07-12,1124.58 
2018-07-11,1128.23 
2018-07-10,1114.22 
2018-07-09,1113.32 
2018-07-06,1115.52 
2018-07-05,1119.33 
2018-07-04,1116.40 
2018-07-03,1114.99 
2018-07-02,1118.88 
2018-06-29,1115.04 
2018-06-28,1121.35 
2018-06-27,1123.57 
2018-06-26,1118.52 
2018-06-25,1115.47 
2018-06-22,1112.00 
2018-06-21,1110.55 
2018-06-20,1109.98 
2018-06-19,1111.89 
2018-06-18,1103.51 
2018-06-15,1103.42 
2018-06-14,1089.15 
2018-06-13,1086.03 
2018-06-12,1081.84 
2018-06-11,1076.88 
2018-06-08,1074.93 
2018-06-07,1072.19 
2018-06-06,1066.88 
2018-06-05,1071.95 
2018-06-04,1070.48 
2018-06-01,1071.88 
2018-05-31,1080.59 
2018-05-30,1077.10 
2018-05-29,1084.37 
2018-05-28,1075.24 
2018-05-25,1078.38 
2018-05-24,1081.69 
2018-05-23,1077.25 
2018-05-22,1076.54 
2018-05-21,1077.69 
2018-05-18,1081.37 
2018-05-17,1082.59 
2018-05-16,1077.74 
2018-05-15,1080.82 
2018-05-14,1070.94 
2018-05-11,1067.98 
2018-05-10,1065.80 
2018-05-09,1079.38 
2018-05-08,1078.56 
2018-05-07,1080.03 
2018-05-04,1074.11 
2018-05-03,1075.56 
2018-05-02,1079.85 
2018-05-01,1073.48 
2018-04-30,1070.45 
2018-04-27,1067.86 
2018-04-26,1077.69 
2018-04-25,1082.21 
2018-04-24,1077.28 
2018-04-23,1081.20 
2018-04-20,1071.10 
2018-04-19,1067.21 
2018-04-18,1065.12 
2018-04-17,1067.12 
2018-04-16,1070.68 
2018-04-13,1071.68 
2018-04-12,1071.04 
2018-04-11,1066.82 
2018-04-10,1064.82 
2018-04-09,1069.71 
2018-04-06,1070.76 
2018-04-05,1062.63 
2018-04-04,1058.28 
2018-04-03,1054.94 
2018-04-02,1057.16 
2018-03-30,1061.26 
2018-03-29,1063.08 
2018-03-28,1064.56 
2018-03-27,1075.13 
2018-03-26,1075.69 
2018-03-23,1083.87 
2018-03-22,1081.21 
2018-03-21,1064.76 
2018-03-20,1071.91 
2018-03-19,1073.49 
2018-03-16,1070.53 
2018-03-15,1069.78 
2018-03-14,1064.55 
2018-03-13,1066.88 
2018-03-12,1065.02 
2018-03-09,1065.38 
2018-03-08,1074.11 
2018-03-07,1067.43 
2018-03-06,1063.96 
2018-03-05,1077.67 
2018-03-02,1079.69 
2018-03-01,1082.84 
2018-02-28,1085.21 
2018-02-27,1081.45 
2018-02-26,1070.67 
2018-02-23,1077.00 
2018-02-22,1080.72 
2018-02-21,1076.02 
2018-02-20,1074.91 
2018-02-19,1067.41 
2018-02-16,1067.19 
2018-02-15,1064.14 
2018-02-14,1070.91 
2018-02-13,1085.05 
2018-02-12,1082.60 
2018-02-09,1085.67 
2018-02-08,1097.58 
2018-02-07,1090.24 
2018-02-06,1080.06 
2018-02-05,1094.84 
2018-02-02,1089.95 
2018-02-01,1070.94 
2018-01-31,1070.08 
2018-01-30,1073.23 
2018-01-29,1070.95 
2018-01-26,1064.67 
2018-01-25,1066.06 
2018-01-24,1064.98 
2018-01-23,1073.89 
2018-01-22,1069.40 
2018-01-19,1067.66 
2018-01-18,1070.69 
2018-01-17,1067.36 
2018-01-16,1064.65 
2018-01-15,1063.43 
2018-01-12,1059.99 
2018-01-11,1065.58 
2018-01-10,1070.14 
2018-01-09,1071.97 
2018-01-08,1068.86 
2018-01-05,1062.09 
2018-01-04,1062.28 
2018-01-03,1064.80 
2018-01-02,1063.21 
2018-01-01,1066.60 
2017-12-29,1067.38 
2017-12-28,1070.26 
2017-12-27,1075.22 
2017-12-26,1076.12 
2017-12-25,1076.56 
2017-12-22,1077.74 
2017-12-21,1080.54 
2017-12-20,1080.56 
2017-12-19,1085.67 
2017-12-18,1086.05 
2017-12-15,1088.95 
2017-12-14,1089.22 
2017-12-13,1084.56 
2017-12-12,1092.89 
2017-12-11,1088.84 
2017-12-08,1092.85 
2017-12-07,1093.60 
2017-12-06,1093.99 
2017-12-05,1087.62 
2017-12-04,1086.30 
2017-12-01,1083.47 
2017-11-30,1088.13 
2017-11-29,1082.10 
2017-11-28,1083.95 
2017-11-27,1091.69 
2017-11-24,1085.62 
2017-11-23,1083.99 
2017-11-22,1086.06 
2017-11-21,1091.13 
